1 25 49
49 169 289
49 289 529
289 625 961
1 841 1681
529 1369 2209
961 1681 2401
289 2809 5329
2401 3721 5041
529 4225 7921
2209 4225 6241
49 5329 10609
1681 7225 12769
5041 7225 9409
1681 7921 14161
49 9409 18769
6241 10201 14161
961 11881 22801
9409 12769 16129
5329 15625 25921
289 18769 37249
14161 21025 27889
16129 21025 25921
7921 22201 36481
2209 24649 47089
1 28561 57121
12769 29929 47089
25921 32761 39601
2401 34225 66049
14161 34225 54289
5329 37249 69169
27889 38809 49729
529 42025 83521
10609 42025 73441
961 48841 96721
39601 48841 58081
25921 52441 78961
10609 54289 97969
7921 58081 108241
49729 66049 82369
22801 70225 117649
58081 70225 82369
36481 72361 108241
18769 76729 134689
5041 78961 152881
6241 83521 160801
47089 85849 124609
289 93025 185761
18769 93025 167281
82369 97969 113569
54289 100489 146689
2401 105625 208849
82369 105625 128881
12769 113569 214369
14161 121801 229441
2209 124609 247009
78961 133225 187489
113569 133225 152881
529 139129 277729
37249 142129 247009
47089 142129 237169
22801 151321 279841
9409 157609 305809
128881 160801 192721
73441 167281 261121
152881 177241 201601
49 180625 361201
108241 180625 253009
69169 187489 305809
37249 198025 358801
124609 198025 271441
5041 201601 398161
66049 208849 351649
14161 212521 410881
1681 231361 461041
201601 231361 261121
146689 235225 323761
192721 235225 277729
97969 243049 388129
117649 243049 368449
1681 255025 508369
57121 255025 452929
57121 259081 461041
25921 271441 516961
16129 284089 552049
187489 284089 380689
6241 292681 579121
108241 297025 485809
261121 297025 332929
134689 310249 485809
49 319225 638401
47089 319225 591361
83521 323761 564001
277729 332929 388129
9409 351649 693889
96721 361201 625681
332929 375769 418609
253009 380689 508369
36481 390625 744769
961 395641 790321
271441 395641 519841
167281 410881 654481
66049 426409 786769
83521 436921 790321
27889 452929 877969
388129 458329 528529
261121 469225 677329
418609 469225 519841
25921 474721 923521
323761 474721 625681
5329 485809 966289
237169 485809 734449
152881 491401 829921
160801 502681 844561
69169 525625 982081
96721 525625 954529
380689 537289 693889
47089 555025 1062961
247009 555025 863041
16129 573049 1129969
519841 579121 638401
14161 591361 1168561
305809 597529 889249
214369 616225 1018081
528529 616225 703921
54289 628849 1203409
368449 628849 889249
289 635209 1270129
229441 654481 1079521
73441 674041 1274641
7921 687241 1366561
638401 707281 776161
508369 714025 919681
519841 714025 908209
388129 727609 1067089
351649 734449 1117249
39601 748225 1456849
279841 748225 1216609
208849 769129 1329409
185761 776161 1366561
108241 811801 1515361
703921 811801 919681
2209 819025 1635841
97969 819025 1540081
49729 855625 1661521
776161 855625 935089
625681 863041 1100401
485809 877969 1270129
25921 885481 1745041
185761 900601 1615441
358801 900601 1442401
12769 908209 1803649
247009 931225 1615441
693889 931225 1168561
485809 954529 1423249
1 970225 1940449
152881 970225 1787569
305809 994009 1682209
78961 1018081 1957201
935089 1026169 1117249
14161 1042441 2070721
160801 1050625 1940449
919681 1050625 1181569
677329 1067089 1456849
27889 1075369 2122849
452929 1075369 1697809
461041 1100401 1739761
58081 1125721 2193361
2401 1142761 2283121
208849 1151329 2093809
277729 1151329 2024929
908209 1194649 1481089
117649 1203409 2289169
5329 1221025 2436721
134689 1221025 2307361
654481 1221025 1787569
1117249 1221025 1324801
919681 1229881 1540081
734449 1247689 1760929
564001 1274641 1985281
39601 1311025 2582449
410881 1311025 2211169
247009 1329409 2411809
10609 1338649 2666689
1181569 1338649 1495729
277729 1357225 2436721
889249 1357225 1825201
625681 1394761 2163841
108241 1413721 2719201
167281 1413721 2660161
529 1423249 2845969
1324801 1442401 1560001
398161 1452025 2505889
1100401 1452025 1803649
889249 1471369 2053489
82369 1481089 2879809
1168561 1510441 1852321
214369 1530169 2845969
516961 1540081 2563201
863041 1540081 2217121
25921 1560001 3094081
361201 1590121 2819041
591361 1590121 2588881
82369 1630729 3179089
961 1651225 3301489
229441 1651225 3073009
361201 1661521 2961841
1495729 1682209 1868689
1560001 1692601 1825201
124609 1723969 3323329
1067089 1723969 2380849
829921 1745041 2660161
10609 1755625 3500641
844561 1755625 2666689
49729 1809025 3568321
552049 1809025 3066001
461041 1852321 3243601
58081 1874161 3690241
1481089 1885129 2289169
7921 1907161 3806401
305809 1918225 3530641
1117249 1918225 2719201
790321 1974025 3157729
1825201 1974025 2122849
1540081 1985281 2430481
146689 2007889 3869089
1270129 2007889 2745649
1018081 2042041 3066001
508369 2053489 3598609
786769 2088025 3389281
1868689 2088025 2307361
1456849 2111209 2765569
36481 2146225 4255969
579121 2146225 3713329
279841 2157961 4036081
1079521 2157961 3236401
22801 2193361 4363921
398161 2217121 4036081
744769 2229049 3713329
113569 2289169 4464769
2122849 2289169 2455489
247009 2301289 4355569
1803649 2301289 2798929
461041 2325625 4190209
1852321 2325625 2798929
1216609 2362369 3508129
1423249 2362369 3301489
128881 2399401 4669921
954529 2411809 3869089
18769 2449225 4879681
237169 2449225 4661281
47089 2512225 4977361
693889 2512225 4330561
508369 2550409 4592449
2307361 2563201 2819041
1825201 2588881 3352561
82369 2601769 5121169
410881 2627641 4844401
5041 2640625 5276209
2455489 2640625 2825761
1760929 2679769 3598609
982081 2719201 4456321
1442401 2719201 3996001
187489 2745649 5303809
6241 2785561 5564881
638401 2825761 5013121
877969 2839225 4800481
2289169 2839225 3389281
82369 2866249 5650129
1787569 2879809 3972049
638401 2920681 5202961
54289 2948089 5841889
1329409 2948089 4566769
358801 2961841 5564881
18769 3003289 5987809
2825761 3031081 3236401
923521 3045025 5166529
2430481 3045025 3659569
2053489 3073009 4092529
1697809 3115225 4532641
2819041 3115225 3411409
152881 3129361 6105841
261121 3129361 5997601
289 3157729 6315169
579121 3171961 5764801
1366561 3171961 4977361
1739761 3200521 4661281
1062961 3243601 5424241
305809 3330625 6355441
790321 3330625 5870929
552049 3433609 6315169
2798929 3433609 4068289
3236401 3463321 3690241
2217121 3478225 4739329
2798929 3478225 4157521
2380849 3508129 4635409
113569 3523129 6932689
351649 3553225 6754801
516961 3553225 6589489
1682209 3553225 5424241
1985281 3553225 5121169
2401 3568321 7134241
1615441 3613801 5612161
1203409 3659569 6115729
192721 3690241 7187761
1274641 3690241 6105841
253009 3736489 7219969
12769 3751969 7491169
3411409 3751969 4092529
966289 3783025 6599761
2765569 3783025 4800481
790321 3798601 6806881
78961 3845521 7612081
2163841 3845521 5527201
693889 3892729 7091569
1615441 3940225 6265009
3690241 3940225 4190209
452929 3972049 7491169
2745649 3988009 5230369
